Volume;env;quartier;dc;zone;type;Application;Cap;Use;Use%
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDT-DR69;25.0;3.01;12.04
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR44-SES;10.0;7.37;73.7
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Emploi-sous-controle-etranger;5.0;4.01;80.2
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDT-GPDTIL;50.0;27.72;55.44
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDT-DR14;25.0;4.45;17.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;EDT-ETUDES;25.0;23.18;92.72
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR69-Passage-R;5.0;0.5;9.99
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;CSSL-PSM-VSD;175.0;66.32;37.9
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;EMPLOI-ReprisePCSNAF;25.0;4.45;17.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DUREE;20.0;18.7;93.5
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;NETWORK-BORDERS;20.0;7.79;38.95
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;CAPI-RECEPTION-PREPROD;5.0;2.97;59.4
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG-DSE-RIAS-GT;5.0;4.23;84.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;INSEEFR-TABDYN;5.0;1.28;25.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;MELODI;20.0;0.06;0.31
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;ENT-CONJONCTURE;5.0;0.0;0.0
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;IVQ-PROD;15.0;0.52;3.44
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR20-FORMATION;5.0;3.34;66.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;EMPLOI-Calcul-Variance;20.0;13.65;68.25
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR974-OLEE;25.0;23.46;93.84
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;MIQS;49.0;14.82;30.24
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR69ETAB69-QIS-Terri-RP;5.0;4.27;85.4
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Tourisme-CAMPING-autres;5.0;0.45;9.01
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Corg-Int;5.0;0.58;11.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PISE-PSAR-EER;25.0;15.59;62.36
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Eval-CII;25.0;23.83;95.32
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-E440;10.0;9.73;97.3
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;EMPLOI-MADPUBLI;25.0;17.14;68.56
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;COU-PROD;25.0;2.9;11.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR31-SED34;10.0;0.0;0.0
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR44-PSM;25.0;9.06;36.24
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Espace-UIA;25.0;2.74;10.96
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PANPAT-PROD;25.0;16.66;66.64
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR13-SIN;10.0;0.01;0.15
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDSF-EVA;25.0;1.51;6.04
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Mission-DOM;50.0;10.98;21.96
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;administration-Syracuse;30.0;9.61;32.03
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Epure-Olee;98.0;3.31;3.38
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Renovation-codification-NAF--2;5.0;0.29;5.78
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-G230-FIRMEOPISE-EAP;25.0;4.0;16.0
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-G420;10.0;9.99;99.9
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Documentation-des-sources;10.0;2.1;21.0
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Bassin-parisien;20.0;3.95;19.75
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PSM-DADS;15.0;2.69;17.93
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;AES-PROD;25.0;9.61;38.44
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-G410;600.0;51.04;8.51
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;MOB-PREPROD;100.0;28.11;28.11
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;LIFI-ELARGI;200.0;21.69;10.85
