Vserver;Volume;Capacite;Utilise
"<a href=""index.php?vserver=pd_as_rh_d1_00&amp;volume=vol_pd_as_rh_d1_00_data"">pd_as_rh_d1_00</a>";vol_pd_as_rh_d1_00_data;750GB;65.54GB
"<a href=""index.php?vserver=pd_as_rh_d1_00&amp;volume=vol_pd_as_rh_d1_00_logs"">pd_as_rh_d1_00</a>";vol_pd_as_rh_d1_00_logs;18GB;5.75GB
"<a href=""index.php?vserver=pd_as_ri_d1_00&amp;volume=vol_pd_as_ri_d1_00_data"">pd_as_ri_d1_00</a>";vol_pd_as_ri_d1_00_data;12TB;3.21TB
"<a href=""index.php?vserver=pd_as_ri_d1_00&amp;volume=vol_pd_as_ri_d1_00_logs"">pd_as_ri_d1_00</a>";vol_pd_as_ri_d1_00_logs;70GB;5.05GB
"<a href=""index.php?vserver=pd_as_rp_d1_00&amp;volume=vol_pd_as_rp_d1_00_data"">pd_as_rp_d1_00</a>";vol_pd_as_rp_d1_00_data;72GB;12.12GB
"<a href=""index.php?vserver=pd_as_rp_d1_00&amp;volume=vol_pd_as_rp_d1_00_logs"">pd_as_rp_d1_00</a>";vol_pd_as_rp_d1_00_logs;100GB;7.66GB
"<a href=""index.php?vserver=pd_as_st_d1_00&amp;volume=vol_pd_as_st_d1_00_data"">pd_as_st_d1_00</a>";vol_pd_as_st_d1_00_data;400GB;92.83GB
"<a href=""index.php?vserver=pd_as_st_d1_00&amp;volume=vol_pd_as_st_d1_00_logs"">pd_as_st_d1_00</a>";vol_pd_as_st_d1_00_logs;94GB;47.80GB
"<a href=""index.php?vserver=pd_dpt_if_d1_00&amp;volume=vol_pd_dpt_if_d1_00_data"">pd_dpt_if_d1_00</a>";vol_pd_dpt_if_d1_00_data;2.30TB;1.88TB
"<a href=""index.php?vserver=pd_pdc_ut_d1_00&amp;volume=vol_pd_pdc_ut_d1_00_data"">pd_pdc_ut_d1_00</a>";vol_pd_pdc_ut_d1_00_data;50GB;471.8MB
"<a href=""index.php?vserver=hp_as_an_d2_50&amp;volume=vol_hp_as_an_d2_50_data"">hp_as_an_d2_50</a>";vol_hp_as_an_d2_50_data;100GB;13.22GB
"<a href=""index.php?vserver=hp_as_an_d2_50&amp;volume=vol_hp_as_an_d2_50_logs"">hp_as_an_d2_50</a>";vol_hp_as_an_d2_50_logs;50GB;5.88GB
"<a href=""index.php?vserver=hp_as_ap_d2_50&amp;volume=vol_hp_as_ap_d2_50_data"">hp_as_ap_d2_50</a>";vol_hp_as_ap_d2_50_data;100GB;23.70GB
"<a href=""index.php?vserver=hp_as_ap_d2_50&amp;volume=vol_hp_as_ap_d2_50_logs"">hp_as_ap_d2_50</a>";vol_hp_as_ap_d2_50_logs;50GB;17.57GB
