URL_light;Volume;env;quartier;dc;zone;type;CapFS;UseFS;Use%
"vserver=pd_as_cn_d1_50&amp;volume=vol_pd_as_cn_d1_50_logs";vol_pd_as_cn_d1_50_logs;pd;CN;d1;Int;logs;54.0;2.52;4.67
"vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_data";vol_pd_as_cn_d2_50_data;pd;CN;d2;Int;data;10.0;0.00912;0.09
"vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_logs";vol_pd_as_cn_d2_50_logs;pd;CN;d2;Int;logs;5.0;0.01091;0.22
"vserver=pd_as_df_d1_00&amp;volume=vol_pd_as_df_d1_00_data";vol_pd_as_df_d1_00_data;pd;DF;d1;Dmz;data;1460.0;493.8;33.82
"vserver=pd_as_df_d1_00&amp;volume=vol_pd_as_df_d1_00_logs";vol_pd_as_df_d1_00_logs;pd;DF;d1;Dmz;logs;54.0;38.07;70.5
"vserver=pd_as_df_d1_50&amp;volume=vol_pd_as_df_d1_50_data";vol_pd_as_df_d1_50_data;pd;DF;d1;Int;data;540.0;136.5;25.28
"vserver=pd_as_df_d1_50&amp;volume=vol_pd_as_df_d1_50_logs";vol_pd_as_df_d1_50_logs;pd;DF;d1;Int;logs;19.0;2.03;10.68
"vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_data";vol_pd_as_df_d2_50_data;pd;DF;d2;Int;data;700.0;1.81;0.26
"vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_logs";vol_pd_as_df_d2_50_logs;pd;DF;d2;Int;logs;5.0;0.01216;0.24
"vserver=pd_dpt_if_d1_00&amp;volume=vol_pd_dpt_if_d1_00_data";vol_pd_dpt_if_d1_00_data;pd;DPT_IF;d1;Dmz;data;2300.0;1880.0;81.74
"vserver=pd_dpt_if_d1_50&amp;volume=vol_pd_dpt_if_d1_50_data";vol_pd_dpt_if_d1_50_data;pd;DPT_IF;d1;Int;data;2500.0;1710.0;68.4
"vserver=pd_dpt_if_d2_00&amp;volume=vol_pd_dpt_if_d2_00_data";vol_pd_dpt_if_d2_00_data;pd;DPT_IF;d2;Dmz;data;1500.0;1270.0;84.67
"vserver=pd_dpt_if_d2_50&amp;volume=vol_pd_dpt_if_d2_50_data";vol_pd_dpt_if_d2_50_data;pd;DPT_IF;d2;Int;data;3200.0;1770.0;55.31
"vserver=pd_as_en_d1_00&amp;volume=vol_pd_as_en_d1_00_data";vol_pd_as_en_d1_00_data;pd;EN;d1;Dmz;data;53.0;12.57;23.72
"vserver=pd_as_en_d1_00&amp;volume=vol_pd_as_en_d1_00_logs";vol_pd_as_en_d1_00_logs;pd;EN;d1;Dmz;logs;18.0;0.06839;0.38
"vserver=pd_as_en_d1_50&amp;volume=vol_pd_as_en_d1_50_data";vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;2000.0;1290.0;64.5
"vserver=pd_as_en_d1_50&amp;volume=vol_pd_as_en_d1_50_logs";vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;143.0;89.96;62.91
"vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_data";vol_pd_as_en_d2_50_data;pd;EN;d2;Int;data;200.0;67.11;33.55
"vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_logs";vol_pd_as_en_d2_50_logs;pd;EN;d2;Int;logs;10.0;0.1109;1.11
"vserver=pd_as_ep_d1_50&amp;volume=vol_pd_as_ep_d1_50_data";vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;4880.0;2360.0;48.36
"vserver=pd_as_ep_d1_50&amp;volume=vol_pd_as_ep_d1_50_logs";vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;100.0;19.46;19.46
"vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_data";vol_pd_as_ep_d2_50_data;pd;EP;d2;Int;data;10.0;0.00812;0.08
"vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_logs";vol_pd_as_ep_d2_50_logs;pd;EP;d2;Int;logs;5.0;0.00163;0.03
"vserver=pd_as_et_d1_50&amp;volume=vol_pd_as_et_d1_50_data";vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;126.0;3.43;2.72
"vserver=pd_as_et_d1_50&amp;volume=vol_pd_as_et_d1_50_logs";vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;18.0;0.2066;1.15
"vserver=pd_as_ge_d1_50&amp;volume=vol_pd_as_ge_d1_50_data";vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;700.0;429.5;61.36
"vserver=pd_as_ge_d1_50&amp;volume=vol_pd_as_ge_d1_50_logs";vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;21.0;5.85;27.86
"vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_data";vol_pd_as_ge_d2_50_data;pd;GE;d2;Int;data;10.0;0.00355;0.04
"vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_logs";vol_pd_as_ge_d2_50_logs;pd;GE;d2;Int;logs;5.0;0.06159;1.23
"vserver=pd_aus_gen_mad&amp;volume=vol_pd_aus_gen_mad";vol_pd_aus_gen_mad;pd;GEN_MAD;d1;Int;aus;6840.0;129.6;1.89
"vserver=pd_as_if_d1_00&amp;volume=vol_pd_as_if_d1_00_data";vol_pd_as_if_d1_00_data;pd;IF;d1;Dmz;data;800.0;402.7;50.34
"vserver=pd_as_if_d1_00&amp;volume=vol_pd_as_if_d1_00_logs";vol_pd_as_if_d1_00_logs;pd;IF;d1;Dmz;logs;20.0;0.00523;0.03
"vserver=pd_as_if_d1_50&amp;volume=vol_pd_as_if_d1_50_data";vol_pd_as_if_d1_50_data;pd;IF;d1;Int;data;100.0;1.14;1.14
"vserver=pd_as_if_d1_50&amp;volume=vol_pd_as_if_d1_50_logs";vol_pd_as_if_d1_50_logs;pd;IF;d1;Int;logs;20.0;0.03309;0.17
"vserver=pd_as_if_d2_00&amp;volume=vol_pd_as_if_d2_00_data";vol_pd_as_if_d2_00_data;pd;IF;d2;Dmz;data;800.0;399.6;49.95
"vserver=pd_as_if_d2_00&amp;volume=vol_pd_as_if_d2_00_logs";vol_pd_as_if_d2_00_logs;pd;IF;d2;Dmz;logs;20.0;0.00398;0.02
"vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_data";vol_pd_as_if_d2_50_data;pd;IF;d2;Int;data;100.0;0.01738;0.02
"vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_logs";vol_pd_as_if_d2_50_logs;pd;IF;d2;Int;logs;20.0;0.00674;0.03
"vserver=pd_as_mn_d1_00&amp;volume=vol_pd_as_mn_d1_00_data";vol_pd_as_mn_d1_00_data;pd;MN;d1;Dmz;data;808.0;385.7;47.74
"vserver=pd_as_mn_d1_00&amp;volume=vol_pd_as_mn_d1_00_logs";vol_pd_as_mn_d1_00_logs;pd;MN;d1;Dmz;logs;72.0;3.04;4.22
"vserver=pd_as_mn_d1_50&amp;volume=vol_pd_as_mn_d1_50_data";vol_pd_as_mn_d1_50_data;pd;MN;d1;Int;data;18000.0;7870.0;43.72
"vserver=pd_as_mn_d1_50&amp;volume=vol_pd_as_mn_d1_50_logs";vol_pd_as_mn_d1_50_logs;pd;MN;d1;Int;logs;54.0;28.76;53.26
"vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_data";vol_pd_as_mn_d2_50_data;pd;MN;d2;Int;data;10.0;0.649;6.49
"vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_logs";vol_pd_as_mn_d2_50_logs;pd;MN;d2;Int;logs;7.8;4.15;53.21
"vserver=pd_pdc_ut_d1_00&amp;volume=vol_pd_pdc_ut_d1_00_data";vol_pd_pdc_ut_d1_00_data;pd;PDC_UT;d1;Dmz;data;50.0;0.4718;0.94
"vserver=pd_pdc_ut_d1_50&amp;volume=vol_pd_pdc_ut_d1_50_data";vol_pd_pdc_ut_d1_50_data;pd;PDC_UT;d1;Int;data;50.0;7.56;15.12
"vserver=pd_pdc_ut_d2_00&amp;volume=vol_pd_pdc_ut_d2_00_data";vol_pd_pdc_ut_d2_00_data;pd;PDC_UT;d2;Dmz;data;50.0;0.03135;0.06
"vserver=pd_pdc_ut_d2_50&amp;volume=vol_pd_pdc_ut_d2_50_data";vol_pd_pdc_ut_d2_50_data;pd;PDC_UT;d2;Int;data;50.0;13.87;27.74
"vserver=pd_as_pl_d1_00&amp;volume=vol_pd_as_pl_d1_00_data";vol_pd_as_pl_d1_00_data;pd;PL;d1;Dmz;data;18.0;7.56;42.0
"vserver=pd_as_pl_d1_00&amp;volume=vol_pd_as_pl_d1_00_logs";vol_pd_as_pl_d1_00_logs;pd;PL;d1;Dmz;logs;18.0;0.1737;0.96
