URL_light;Volume;Capacite;Utilise
"vserver=hp_as_ap_d2_50&amp;volume=vol_hp_as_ap_d2_50_logs";vol_hp_as_ap_d2_50_logs;50GB;17.57GB
"vserver=hp_as_cj_d2_50&amp;volume=vol_hp_as_cj_d2_50_data";vol_hp_as_cj_d2_50_data;395GB;47.49GB
"vserver=hp_as_cj_d2_50&amp;volume=vol_hp_as_cj_d2_50_logs";vol_hp_as_cj_d2_50_logs;54GB;1.35GB
"vserver=hp_as_cn_d2_50&amp;volume=vol_hp_as_cn_d2_50_data";vol_hp_as_cn_d2_50_data;500GB;15.08GB
"vserver=hp_as_cn_d2_50&amp;volume=vol_hp_as_cn_d2_50_logs";vol_hp_as_cn_d2_50_logs;54GB;267.8MB
"vserver=hp_as_df_d2_50&amp;volume=vol_hp_as_df_d2_50_data";vol_hp_as_df_d2_50_data;2.50TB;614.2GB
"vserver=hp_as_df_d2_50&amp;volume=vol_hp_as_df_d2_50_logs";vol_hp_as_df_d2_50_logs;55GB;11.64GB
"vserver=hp_as_en_d2_50&amp;volume=vol_hp_as_en_d2_50_data";vol_hp_as_en_d2_50_data;556GB;308.0GB
"vserver=hp_as_en_d2_50&amp;volume=vol_hp_as_en_d2_50_logs";vol_hp_as_en_d2_50_logs;53GB;15.96GB
"vserver=hp_as_ep_d2_50&amp;volume=vol_hp_as_ep_d2_50_data";vol_hp_as_ep_d2_50_data;1000GB;334.2GB
"vserver=hp_as_ep_d2_50&amp;volume=vol_hp_as_ep_d2_50_logs";vol_hp_as_ep_d2_50_logs;54GB;2.71GB
"vserver=hp_as_et_d2_50&amp;volume=vol_hp_as_et_d2_50_data";vol_hp_as_et_d2_50_data;50GB;167.3MB
"vserver=hp_as_et_d2_50&amp;volume=vol_hp_as_et_d2_50_logs";vol_hp_as_et_d2_50_logs;50GB;8.10MB
"vserver=hp_as_ge_d2_50&amp;volume=vol_hp_as_ge_d2_50_data";vol_hp_as_ge_d2_50_data;220GB;108.8GB
"vserver=hp_as_ge_d2_50&amp;volume=vol_hp_as_ge_d2_50_logs";vol_hp_as_ge_d2_50_logs;54GB;433.6MB
"vserver=hp_as_if_d2_50&amp;volume=test";test;1GB;1.07MB
"vserver=hp_as_if_d2_50&amp;volume=vol_hp_as_if_d2_50_data";vol_hp_as_if_d2_50_data;90GB;19.72MB
"vserver=hp_as_if_d2_50&amp;volume=vol_hp_as_if_d2_50_logs";vol_hp_as_if_d2_50_logs;18GB;8.62MB
"vserver=hp_as_mn_d2_50&amp;volume=vol_hp_as_mn_d2_50_data";vol_hp_as_mn_d2_50_data;5.50TB;1.94TB
"vserver=hp_as_mn_d2_50&amp;volume=vol_hp_as_mn_d2_50_logs";vol_hp_as_mn_d2_50_logs;54GB;2.06GB
"vserver=hp_as_pl_d2_50&amp;volume=vol_hp_as_pl_d2_50_data";vol_hp_as_pl_d2_50_data;200GB;13.04GB
"vserver=hp_as_pl_d2_50&amp;volume=vol_hp_as_pl_d2_50_logs";vol_hp_as_pl_d2_50_logs;108GB;2.49GB
"vserver=hp_as_px_d2_50&amp;volume=vol_hp_as_px_d2_50_data";vol_hp_as_px_d2_50_data;54GB;2.81GB
"vserver=hp_as_px_d2_50&amp;volume=vol_hp_as_px_d2_50_logs";vol_hp_as_px_d2_50_logs;54GB;386.7MB
"vserver=hp_as_re_d2_50&amp;volume=vol_hp_as_re_d2_50_data";vol_hp_as_re_d2_50_data;610GB;253.6GB
"vserver=hp_as_re_d2_50&amp;volume=vol_hp_as_re_d2_50_logs";vol_hp_as_re_d2_50_logs;145GB;15.45GB
"vserver=hp_as_rh_d2_50&amp;volume=vol_hp_as_rh_d2_50_data";vol_hp_as_rh_d2_50_data;110GB;57.02GB
"vserver=hp_as_rh_d2_50&amp;volume=vol_hp_as_rh_d2_50_logs";vol_hp_as_rh_d2_50_logs;54GB;133.1MB
"vserver=hp_as_ri_d2_50&amp;volume=vol_hp_as_ri_d2_50_data";vol_hp_as_ri_d2_50_data;3TB;393.1GB
"vserver=hp_as_ri_d2_50&amp;volume=vol_hp_as_ri_d2_50_logs";vol_hp_as_ri_d2_50_logs;54GB;2.77GB
"vserver=hp_as_rp_d2_50&amp;volume=vol_hp_as_rp_d2_50_data";vol_hp_as_rp_d2_50_data;898GB;512.7GB
"vserver=hp_as_rp_d2_50&amp;volume=vol_hp_as_rp_d2_50_logs";vol_hp_as_rp_d2_50_logs;144GB;1.37GB
"vserver=hp_as_st_d2_50&amp;volume=vol_hp_as_st_d2_50_data";vol_hp_as_st_d2_50_data;234GB;47.19GB
"vserver=hp_as_st_d2_50&amp;volume=vol_hp_as_st_d2_50_logs";vol_hp_as_st_d2_50_logs;54GB;3.69GB
