Volume;env;quartier;dc;zone;type;CapFS;SomCapVV;UseCapFS%;UseFS;SomUseVV;diff_UseFS-SomUseVV
vol_pp_as_ap_d2_50_logs;pp;AP;d2;Int;logs;40.0;12.0;-70.0;3.72;3.23;0.49
vol_pp_as_cj_d2_50_data;pp;CJ;d2;Int;data;54.0;20.0;-62.96;6.31;7.92;-1.61
vol_pp_as_cj_d2_50_logs;pp;CJ;d2;Int;logs;18.0;1.0;-94.44;0.077168;0.08;-0.0
vol_pp_as_cn_d2_50_data;pp;CN;d2;Int;data;306.0;;;0.923242;;
vol_pp_as_cn_d2_50_logs;pp;CN;d2;Int;logs;18.0;;;0.029121;;
vol_pp_as_df_d2_50_data;pp;DF;d2;Int;data;30.0;20.0;-33.33;12.36;12.86;-0.5
vol_pp_as_df_d2_50_logs;pp;DF;d2;Int;logs;18.0;1.0;-94.44;0.013145;0.01;0.0
vol_pp_as_en_d2_50_data;pp;EN;d2;Int;data;198.0;110.0;-44.44;99.94;103.91;-3.97
vol_pp_as_en_d2_50_logs;pp;EN;d2;Int;logs;108.0;2.0;-98.15;0.306348;0.2;0.11
vol_pp_as_ep_d2_50_data;pp;EP;d2;Int;data;700.0;3.0;-99.57;1.65;1.45;0.2
vol_pp_as_ep_d2_50_logs;pp;EP;d2;Int;logs;36.0;4.0;-88.89;0.502539;0.85;-0.35
vol_pp_as_ge_d2_50_data;pp;GE;d2;Int;data;54.0;50.0;-7.41;45.79;45.42;0.37
vol_pp_as_ge_d2_50_logs;pp;GE;d2;Int;logs;18.0;1.0;-94.44;0.954492;0.99;-0.04
vol_pp_as_mn_d2_50_data;pp;MN;d2;Int;data;341.0;;;0.733789;;
vol_pp_as_mn_d2_50_logs;pp;MN;d2;Int;logs;18.0;;;0.02833;;
vol_pp_as_pl_d2_50_data;pp;PL;d2;Int;data;200.0;15.0;-92.5;0.54707;0.0;0.55
vol_pp_as_pl_d2_50_logs;pp;PL;d2;Int;logs;18.0;;;3.63;;
vol_pp_as_px_d2_50_data;pp;PX;d2;Int;data;18.0;1.0;-94.44;0.014912;0.0;0.01
vol_pp_as_px_d2_50_logs;pp;PX;d2;Int;logs;18.0;1.0;-94.44;0.020195;0.0;0.02
vol_pp_as_re_d2_50_data;pp;RE;d2;Int;data;54.0;;;0.046074;;
vol_pp_as_re_d2_50_logs;pp;RE;d2;Int;logs;18.0;;;0.007949;;
vol_pp_as_rh_d2_50_data;pp;RH;d2;Int;data;18.0;1.0;-94.44;0.008525;0.0;0.01
vol_pp_as_rh_d2_50_logs;pp;RH;d2;Int;logs;18.0;1.0;-94.44;0.015137;0.0;0.02
vol_pp_as_ri_d2_50_data;pp;RI;d2;Int;data;1000.0;1101.0;10.1;459.0;461.1;-2.1
vol_pp_as_ri_d2_50_logs;pp;RI;d2;Int;logs;18.0;8.0;-55.56;0.034365;0.02;0.01
vol_pp_as_rp_d2_50_data;pp;RP;d2;Int;data;126.0;25.0;-80.16;9.95;9.72;0.23
vol_pp_as_rp_d2_50_logs;pp;RP;d2;Int;logs;18.0;2.0;-88.89;0.327051;0.38;-0.05
vol_pp_as_st_d2_50_data;pp;ST;d2;Int;data;110.0;102.0;-7.27;20.06;24.71;-4.65
vol_pp_as_st_d2_50_logs;pp;ST;d2;Int;logs;36.0;16.0;-55.56;0.182227;0.14;0.04
vol_pp_as_ut_d2_50_data;pp;UT;d2;Int;data;90.0;;;0.055;;
vol_pp_as_ut_d2_50_logs;pp;UT;d2;Int;logs;18.0;;;0.025879;;
vol_pd_as_an_d2_00_data;pd;AN;d2;Dmz;data;100.0;5.0;-95.0;0.130469;0.09;0.04
vol_pd_as_an_d2_00_logs;pd;AN;d2;Dmz;logs;20.0;5.0;-75.0;0.00415;0.0;0.0
vol_pd_as_ap_d2_00_data;pd;AP;d2;Dmz;data;10.0;5.0;-50.0;0.516406;0.8;-0.28
vol_pd_as_ap_d2_00_logs;pd;AP;d2;Dmz;logs;5.0;1.0;-80.0;0.551953;0.55;0.0
vol_pd_as_if_d2_00_data;pd;IF;d2;Dmz;data;800.0;800.0;0.0;399.6;399.3;0.3
vol_pd_as_if_d2_00_logs;pd;IF;d2;Dmz;logs;20.0;50.0;150.0;0.004434;0.0;0.0
vol_pd_as_px_d2_00_data;pd;PX;d2;Dmz;data;10.0;8.0;-20.0;0.003037;0.0;0.0
vol_pd_as_px_d2_00_logs;pd;PX;d2;Dmz;logs;5.0;8.0;60.0;0.069326;0.06;0.01
vol_pd_as_re_d2_00_data;pd;RE;d2;Dmz;data;18.0;2.0;-88.89;0.116211;0.11;0.01
vol_pd_as_re_d2_00_logs;pd;RE;d2;Dmz;logs;18.0;2.0;-88.89;0.063857;0.02;0.04
vol_pd_as_ri_d2_00_data;pd;RI;d2;Dmz;data;100.0;102.0;2.0;2.66;1.9;0.76
vol_pd_as_ri_d2_00_logs;pd;RI;d2;Dmz;logs;5.0;3.0;-40.0;0.782227;0.75;0.03
vol_pd_as_rp_d2_00_data;pd;RP;d2;Dmz;data;50.0;15.0;-70.0;1.66;1.68;-0.02
vol_pd_as_rp_d2_00_logs;pd;RP;d2;Dmz;logs;18.0;7.0;-61.11;0.794531;0.77;0.02
vol_pd_as_st_d2_00_data;pd;ST;d2;Dmz;data;10.0;9.0;-10.0;0.662012;0.8;-0.14
vol_pd_as_st_d2_00_logs;pd;ST;d2;Dmz;logs;5.0;9.0;80.0;0.067002;0.05;0.02
vol_pd_dpt_if_d2_00_data;pd;DPT_IF;d2;Dmz;data;1536.0;8192.0;433.33;1280.0;3092.48;-1812.48
vol_pd_pdc_ut_d2_00_data;pd;PDC_UT;d2;Dmz;data;50.0;;;0.03123;;
vol_pp_as_ap_d2_00_data;pp;AP;d2;Dmz;data;40.0;11.0;-72.5;1.2;1.17;0.03
vol_pp_as_ap_d2_00_logs;pp;AP;d2;Dmz;logs;40.0;11.0;-72.5;0.043643;0.02;0.02
vol_pp_as_df_d2_00_data;pp;DF;d2;Dmz;data;1017.0;1028.0;1.08;347.1;908.93;-561.83
vol_pp_as_df_d2_00_logs;pp;DF;d2;Dmz;logs;54.0;25.0;-53.7;2.06;1.99;0.07
vol_pp_as_en_d2_00_data;pp;EN;d2;Dmz;data;36.0;;;0.024746;;
vol_pp_as_en_d2_00_logs;pp;EN;d2;Dmz;logs;18.0;;;0.019062;;
vol_pp_as_mn_d2_00_data;pp;MN;d2;Dmz;data;18.0;;;0.00873;;
vol_pp_as_mn_d2_00_logs;pp;MN;d2;Dmz;logs;18.0;;;0.020645;;
vol_pp_as_pl_d2_00_data;pp;PL;d2;Dmz;data;18.0;1.0;-94.44;0.053662;0.13;-0.08
vol_pp_as_pl_d2_00_logs;pp;PL;d2;Dmz;logs;18.0;1.0;-94.44;0.042188;0.03;0.01
vol_pp_as_px_d2_00_data;pp;PX;d2;Dmz;data;18.0;6.0;-66.67;5.01;5.0;0.01
vol_pp_as_px_d2_00_logs;pp;PX;d2;Dmz;logs;18.0;2.0;-88.89;0.239063;0.23;0.01
vol_pp_as_re_d2_00_data;pp;RE;d2;Dmz;data;844.0;803.0;-4.86;144.5;152.88;-8.38
vol_pp_as_re_d2_00_logs;pp;RE;d2;Dmz;logs;108.0;70.0;-35.19;4.34;4.81;-0.47
